PHA,PHO,PMB,PUN,PBL,PDL,Xiao's Ranked
hemlock,hemlock,ash,hemlock,birch,birch,Pine
chestnut,chestnut,beech,maple,elm,elm,Birch
beech,beech,birch,oak,oak,oak,Hemlock
maple,maple,elm,pine,pine,pine,Maple
hickory,hickory,hemlock,spruce,poplar,poplar,Basswood
spruce,spruce,maple,tamarack,tamarack,tamarack,Oak
pine,pine,oak,poplar,ash,ash,Cedar
oak,oak,pine,birch,maple,maple,Elm
birch,birch,tamarack,elm,spruce,spruce,Poplar
,,basswood,cedar,basswood,basswood,tamarack
,,cedar,fir,,,beech
,,hickory,basswood,,,spruce
,,ironwood,ash,,,fir
,,poplar,,,,ironwood
,,,,,,hickory
,,,,,,Walnut
,,,,,,cherry
,,,,,,hackberry
,,,,,,willow
,,,,,,sycamore
,,,,,,ash
,,,,,,alder
