"V1","V2","V3","V4","V5"
"Acer Saccharinum (Silver Maple)",FALSE,TRUE,TRUE,FALSE,TRUE
"Betula Alleghaniensis (Yellow Birch)",FALSE,FALSE,TRUE,TRUE,FALSE
"Carya Tomentosa (Mockernut Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Castanea Dentata (American Chestnut)",TRUE,FALSE,FALSE,FALSE,FALSE
"Fagus Grandifolia (American Beech)",FALSE,FALSE,TRUE,FALSE,FALSE
"Picea Glauca (White Spruce)",FALSE,FALSE,FALSE,FALSE,FALSE
"Pinus Strobus (White Pine)",TRUE,TRUE,TRUE,FALSE,FALSE
"Tsuga Canadensis (Hemlock)",FALSE,FALSE,TRUE,TRUE,FALSE
"Quercus Rubra (Northern Red Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Ulmus Americana (American Elm)",FALSE,FALSE,TRUE,FALSE,FALSE
"Larix Laricina (Tamarack)",FALSE,TRUE,TRUE,TRUE,TRUE
"Fraxinus Pennsylvanica (Green Ash)",FALSE,TRUE,FALSE,FALSE,FALSE
"Populus Tremuloides (Quacking Aspen)",FALSE,FALSE,FALSE,FALSE,FALSE
"Tilia Americana (American Basswood)",FALSE,FALSE,FALSE,TRUE,FALSE
"Abies Balsamea (Balsam Fir)",FALSE,FALSE,TRUE,FALSE,FALSE
"Abies Fraseri (Fraser Fir)",FALSE,FALSE,TRUE,FALSE,FALSE
"Acer Rubrum (Red Maple)",FALSE,TRUE,TRUE,TRUE,FALSE
"Acer Saccharum (Sugar Maple)",FALSE,FALSE,TRUE,FALSE,FALSE
"Betula Lenta (Sweet Birch)",FALSE,TRUE,TRUE,TRUE,FALSE
"Carya Cordiformis (Bitternut Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Carya Glabra (Pignut Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Carya Laciniosa (Shellbark Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Carya Ovata (Shagbark Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Carya Texana (Black Hickory)",TRUE,FALSE,TRUE,FALSE,FALSE
"Celtis Laevigata (Sugarberry)",TRUE,FALSE,FALSE,FALSE,FALSE
"Cornus Florida (Flowering Dogwood)",FALSE,FALSE,TRUE,FALSE,FALSE
"Fraxinus Americana (White Ash)",FALSE,TRUE,TRUE,TRUE,FALSE
"Fraxinus Nigra (Black Ash)",FALSE,FALSE,FALSE,TRUE,TRUE
"Prunus Pensylvanica (Pin Cherry)",FALSE,FALSE,FALSE,FALSE,FALSE
"Juglans Cinerea (Butternut)",FALSE,TRUE,TRUE,FALSE,FALSE
"Juglans Nigra (Black Walnut)",TRUE,FALSE,TRUE,FALSE,TRUE
"Juniperus Virginiana (Eastern Red Cedar)",FALSE,TRUE,FALSE,FALSE,TRUE
"Liquidambar Styraciflua (Sweetgum)",FALSE,FALSE,FALSE,TRUE,FALSE
"Liriodendron Tulipifera (Yellow or Tulip Poplar)",FALSE,TRUE,FALSE,FALSE,TRUE
"Carpinus Caroliniana (American Hornbean)",FALSE,FALSE,FALSE,FALSE,FALSE
"Picea Mariana (Black Spruce)",FALSE,FALSE,TRUE,FALSE,FALSE
"Picea Rubens (Red Spruce)",FALSE,TRUE,TRUE,FALSE,FALSE
"Pinus Banksiana (Jack Pine)",FALSE,FALSE,TRUE,TRUE,FALSE
"Pinus Echinata (Shortleaf Pine)",FALSE,TRUE,FALSE,FALSE,FALSE
"Pinus Resinosa (Red Pine)",FALSE,TRUE,TRUE,FALSE,FALSE
"Pinus Taeda (Loblolly Pine)",FALSE,TRUE,FALSE,FALSE,FALSE
"Pinus Virginiana (Virginia Pine)",FALSE,TRUE,FALSE,FALSE,TRUE
"Platanus Occidentalis (American Sycamore)",FALSE,TRUE,TRUE,FALSE,TRUE
"Quercus Alba (White Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Quercus Coccinea (Scarlet Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Quercus Falcata (Southern Red Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Quercus Lyrata (Overcup Oak)",TRUE,TRUE,TRUE,TRUE,FALSE
"Quercus Marilandica (Blackjack Oak)",FALSE,FALSE,FALSE,FALSE,FALSE
"Quercus Nuttallii (River Red Oak)",TRUE,FALSE,TRUE,FALSE,TRUE
"Quercus Prinus (Chestnut Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Quercus Shumardii (Shumard's Oak)",FALSE,TRUE,FALSE,FALSE,FALSE
"Quercus Stellata (Post Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
"Quercus Velutina (Black Oak)",FALSE,TRUE,FALSE,FALSE,FALSE
"Tilia Heterophylla (White Basswood)",FALSE,TRUE,TRUE,FALSE,FALSE
"Ulmus Alata (Winged Elm)",FALSE,FALSE,FALSE,FALSE,FALSE
"Aesculus Octandra (Yellow Buckeye)",TRUE,FALSE,TRUE,FALSE,FALSE
"Betula Populifolia (Gray Birch)",FALSE,TRUE,FALSE,TRUE,FALSE
"Betula Papyrifera (Paper Birch)",FALSE,TRUE,TRUE,TRUE,FALSE
"Fraxinus Quadrangulata (Blue Ash)",FALSE,TRUE,FALSE,TRUE,FALSE
"Populus Balsamifera (Balsam Poplar)",FALSE,FALSE,TRUE,FALSE,FALSE
"Populus Grandidentata (Bigtooth Aspen)",FALSE,FALSE,FALSE,TRUE,TRUE
"Quercus Macrocarpa (Bur Oak)",TRUE,TRUE,FALSE,FALSE,FALSE
"Quercus Muehlenbergii (Chinkapin Oak)",TRUE,TRUE,FALSE,FALSE,FALSE
"Quercus Palustris (Pin Oak)",TRUE,TRUE,TRUE,FALSE,TRUE
"Quercus Virginiana (Southern Live Oak)",TRUE,TRUE,TRUE,FALSE,FALSE
"Thuja Occidentalis (Northern White-Cedar)",TRUE,TRUE,TRUE,TRUE,FALSE
"Nyssa Sylvatica (Blackgum)",FALSE,TRUE,FALSE,FALSE,FALSE
"Ostrya Virginiana (Eastern Hophornbeam)",FALSE,TRUE,FALSE,FALSE,FALSE
"Prunus Serotina (Black Cherry)",FALSE,FALSE,FALSE,TRUE,FALSE
"Pinus Rigida (Pitch Pine)",FALSE,TRUE,FALSE,FALSE,FALSE
"Quercus ellipsoidalis (Northern Pin Oak)",FALSE,TRUE,FALSE,TRUE,FALSE
"Quercus Borealis (Northern Red Oak)",TRUE,FALSE,FALSE,FALSE,FALSE
